Latitude,Longitude,Predictions
37.99542,-121.81375,6.8
37.99542,-121.78875,7.2
37.98708,-122.53042,8.2
37.98708,-122.51375,7.5
37.98708,-122.48042,7.5
37.98708,-122.45542,7.5
37.98708,-122.35542,7.2
37.98708,-122.33875,7.2
37.98708,-122.30542,7.2
37.98708,-122.28042,7.5
37.98708,-122.26375,7.2
37.98708,-122.23042,7.2
37.98708,-122.18042,7.5
37.98708,-122.12208,7.5
37.98708,-122.08875,7.5
37.98708,-122.06375,7.5
37.98708,-122.03875,7.5
37.98708,-122.00542,7.5
37.98708,-121.98875,7.2
37.98708,-121.88875,7.2
37.98708,-121.83042,6.5
37.98708,-121.79708,6.8
37.97875,-122.54708,8.5
37.97875,-122.52208,8.5
37.97875,-122.49708,8.2
37.97875,-122.47208,8.2
37.97875,-122.34708,6.5
37.97875,-122.31375,7.5
37.97875,-122.29708,7.5
37.97875,-122.27208,7.5
37.97875,-122.24708,7.5
37.97875,-122.20542,7.5
37.97875,-122.16375,7.5
37.97875,-122.10542,7.5
37.97875,-122.07208,7.5
37.97875,-122.05542,7.5
37.97875,-122.02208,7.5
37.97875,-121.99708,7.2
37.97875,-121.98042,7.2
37.97875,-121.90542,7.5
37.97875,-121.87208,7.2
37.97875,-121.83875,6.5
37.97875,-121.82208,6.5
37.97042,-122.53042,7.5
37.97042,-122.51375,7.8
37.97042,-122.48875,7.5
37.97042,-122.35542,7.2
37.97042,-122.33042,7.5
37.97042,-122.30542,7.5
37.97042,-122.28875,7.5
37.97042,-122.25542,7.5
37.97042,-122.19708,7.5
37.97042,-122.17208,7.5
37.97042,-122.14708,7.5
37.97042,-122.13042,7.5
37.97042,-122.11375,7.5
37.97042,-122.09708,7.5
37.97042,-122.06375,7.5
37.97042,-122.03875,7.5
37.97042,-122.00542,7.5
37.97042,-121.98875,7.5
37.97042,-121.97208,7.5
37.97042,-121.92208,7.2
37.97042,-121.86375,7.5
37.97042,-121.80542,7.2
37.97042,-121.78875,7.2
37.96208,-122.54708,8.5
37.96208,-122.52208,8.2
37.96208,-122.50542,7.5
37.96208,-122.37208,6.5
37.96208,-122.34708,6.5
37.96208,-122.32208,7.5
37.96208,-122.29708,7.5
37.96208,-122.27208,7.2
37.96208,-122.24708,7.5
37.96208,-122.20542,7.5
37.96208,-122.18042,7.5
37.96208,-122.15542,7.5
37.96208,-122.12208,7.5
37.96208,-122.10542,7.5
37.96208,-122.08042,7.5
37.96208,-122.05542,7.5
37.96208,-122.03042,7.5
37.96208,-122.01375,7.5
37.96208,-121.99708,7.2
37.96208,-121.98042,7.5
37.96208,-121.95542,7.5
37.96208,-121.93875,7.5
37.96208,-121.81375,6.5
37.96208,-121.79708,7.2
37.95375,-122.53875,8.5
37.95375,-122.51375,8.5
37.95375,-122.48875,7.5
37.95375,-122.40542,7.5
37.95375,-122.36375,7.2
37.95375,-122.33042,6.8
37.95375,-122.28042,7.5
37.95375,-122.26375,7.5
37.95375,-122.19708,7.5
37.95375,-122.17208,7.5
37.95375,-122.11375,8.5
37.95375,-122.09708,7.5
37.95375,-122.07208,8.2
37.95375,-122.04708,7.5
37.95375,-122.00542,7.5
37.95375,-121.98875,7.2
37.95375,-121.96375,7.2
37.95375,-121.92208,7.5
37.95375,-121.82208,7.2
37.95375,-121.80542,7.5
37.95375,-121.78875,7.5
37.94542,-122.54708,8.5
37.94542,-122.53042,8.2
37.94542,-122.50542,7.5
37.94542,-122.38875,7.5
37.94542,-122.37208,6.5
37.94542,-122.35542,6.8
37.94542,-122.33875,7.2
37.94542,-122.32208,7.5
37.94542,-122.30542,7.5
37.94542,-122.27208,7.5
37.94542,-122.20542,7.5
37.94542,-122.18042,7.5
37.94542,-122.16375,7.5
37.94542,-122.08042,7.5
37.94542,-122.06375,7.5
37.94542,-122.03042,7.5
37.94542,-121.99708,7.2
37.94542,-121.95542,7.5
37.94542,-121.93875,7.5
37.94542,-121.79708,7.5
37.93708,-122.53875,8.2
37.93708,-122.52208,8.5
37.93708,-122.48875,5.0
37.93708,-122.36375,7.2
37.93708,-122.33042,7.5
37.93708,-122.31375,7.5
37.93708,-122.18875,7.5
37.93708,-122.17208,7.5
37.93708,-122.11375,8.5
37.93708,-122.08875,7.5
37.93708,-122.07208,7.5
37.93708,-122.04708,7.5
37.93708,-122.02208,7.5
37.93708,-122.00542,8.2
37.93708,-121.98042,7.5
37.93708,-121.96375,7.5
37.93708,-121.92208,7.5
37.92875,-122.54708,8.2
37.92875,-122.53042,8.2
37.92875,-122.51375,8.2
37.92875,-122.38875,7.5
37.92875,-122.37208,7.2
37.92875,-122.34708,7.2
37.92875,-122.32208,7.2
37.92875,-122.30542,7.5
37.92875,-122.15542,8.5
37.92875,-122.09708,8.5
37.92875,-122.08042,7.5
37.92875,-122.05542,7.5
37.92875,-122.03875,7.5
37.92875,-122.01375,7.5
37.92875,-121.97208,7.5
37.92875,-121.93042,7.5
37.92875,-121.90542,7.5
37.92875,-121.81375,7.2
37.92042,-122.53875,8.5
37.92042,-122.52208,8.2
37.92042,-122.50542,8.5
37.92042,-122.48875,8.5
37.92042,-122.35542,7.5
37.92042,-122.33042,7.5
37.92042,-122.31375,7.5
37.92042,-122.28875,7.5
37.92042,-122.11375,8.2
37.92042,-122.08875,8.5
37.92042,-122.06375,7.5
37.92042,-122.03042,8.2
37.92042,-122.00542,7.5
37.92042,-121.98875,8.5
37.92042,-121.91375,7.5
37.92042,-121.89708,7.5
37.91208,-122.54708,8.5
37.91208,-122.53042,8.5
37.91208,-122.51375,8.2
37.91208,-122.49708,8.5
37.91208,-122.48042,8.5
37.91208,-122.38042,7.5
37.91208,-122.34708,7.5
37.91208,-122.32208,7.2
37.91208,-122.29708,7.5
37.91208,-122.27208,7.5
37.91208,-122.19708,8.5
37.91208,-122.18042,8.5
37.91208,-122.16375,8.5
37.91208,-122.13875,8.5
37.91208,-122.09708,8.5
37.91208,-122.07208,8.5
37.91208,-122.04708,8.5
37.91208,-122.01375,7.5
37.91208,-121.99708,7.5
37.91208,-121.90542,7.5
37.91208,-121.88875,7.5
37.91208,-121.82208,7.5
37.90375,-122.53875,8.5
37.90375,-122.52208,8.5
37.90375,-122.47208,8.5
37.90375,-122.36375,7.5
37.90375,-122.30542,7.5
37.90375,-122.28042,8.5
37.90375,-122.25542,8.5
37.90375,-122.18875,8.5
37.90375,-122.17208,8.5
37.90375,-122.14708,8.5
37.90375,-122.08875,8.5
37.90375,-122.05542,8.5
37.90375,-122.03042,8.5
37.90375,-122.00542,8.5
37.90375,-121.98875,7.5
37.90375,-121.87208,7.5
37.90375,-121.80542,7.5
37.90375,-121.78875,7.5
37.89542,-122.54708,8.5
37.89542,-122.53042,8.5
37.89542,-122.51375,8.5
37.89542,-122.49708,8.5
37.89542,-122.48042,8.5
37.89542,-122.44708,8.5
37.89542,-122.26375,8.5
37.89542,-122.20542,8.5
37.89542,-122.18042,8.5
37.89542,-122.16375,8.5
37.89542,-122.13042,8.5
37.89542,-122.11375,8.5
37.89542,-122.09708,8.5
37.89542,-122.08042,7.5
37.89542,-122.04708,8.5
37.89542,-121.99708,8.5
37.89542,-121.86375,7.5
37.89542,-121.84708,7.5
37.89542,-121.81375,7.5
37.89542,-121.79708,7.5
37.88708,-122.53875,8.5
37.88708,-122.52208,8.2
37.88708,-122.50542,7.5
37.88708,-122.47208,8.5
37.88708,-122.45542,8.5
37.88708,-122.43875,8.5
37.88708,-122.30542,7.5
37.88708,-122.28875,7.5
37.88708,-122.24708,7.5
37.88708,-122.22208,7.5
37.88708,-122.19708,8.5
37.88708,-122.15542,8.5
37.88708,-122.13875,7.5
37.88708,-122.12208,8.5
37.88708,-122.10542,8.5
37.88708,-122.08875,8.5
37.88708,-122.07208,7.5
37.88708,-122.05542,8.5
37.88708,-122.03042,8.5
37.88708,-121.87208,7.5
37.88708,-121.85542,7.5
37.88708,-121.83875,7.5
37.88708,-121.82208,7.5
37.88708,-121.80542,7.5
37.88708,-121.78875,7.5
37.87875,-122.54708,8.5
37.87875,-122.53042,8.2
37.87875,-122.51375,7.5
37.87875,-122.49708,8.2
37.87875,-122.46375,8.5
37.87875,-122.44708,8.5
37.87875,-122.29708,8.5
37.87875,-122.27208,8.5
37.87875,-122.25542,8.5
37.87875,-122.23875,8.5
37.87875,-122.21375,8.5
37.87875,-122.17208,8.5
37.87875,-122.13042,8.5
37.87875,-122.08042,8.5
37.87875,-122.06375,7.5
37.87875,-122.04708,7.5
37.87875,-122.00542,8.5
37.87875,-121.86375,7.5
37.87042,-122.53875,8.5
37.87042,-122.52208,7.5
37.87042,-122.50542,8.5
37.87042,-122.45542,8.5
37.87042,-122.43042,8.5
37.87042,-122.31375,7.5
37.87042,-122.28875,7.5
37.87042,-122.26375,8.5
37.87042,-122.24708,8.5
37.87042,-122.23042,8.5
37.87042,-122.19708,8.5
37.87042,-122.18042,8.5
37.87042,-122.16375,8.5
37.87042,-122.13875,8.5
37.87042,-122.12208,8.5
37.87042,-122.09708,8.5
37.87042,-122.05542,7.5
37.87042,-122.02208,8.5
37.87042,-121.98875,7.5
37.87042,-121.94708,7.5
37.87042,-121.87208,7.5
37.87042,-121.84708,7.5
37.86208,-122.51375,7.5
37.86208,-122.46375,8.5
37.86208,-122.43875,8.5
37.86208,-122.42208,8.5
37.86208,-122.29708,8.5
37.86208,-122.27208,7.5
37.86208,-122.25542,8.5
37.86208,-122.21375,8.5
37.86208,-122.18875,8.5
37.86208,-122.17208,8.2
37.86208,-122.15542,8.5
37.86208,-122.13042,7.5
37.86208,-122.10542,8.2
37.86208,-122.08875,8.5
37.86208,-122.07208,7.5
37.86208,-122.03875,8.5
37.86208,-122.01375,8.5
37.86208,-121.99708,8.5
37.86208,-121.97208,7.5
37.86208,-121.93042,8.5
37.86208,-121.85542,7.5
37.85375,-122.49708,8.5
37.85375,-122.48042,8.5
37.85375,-122.43042,8.5
37.85375,-122.28042,7.5
37.85375,-122.23875,8.5
37.85375,-122.22208,8.5
37.85375,-122.18042,8.2
37.85375,-122.16375,8.5
37.85375,-122.12208,8.5
37.85375,-122.08042,8.5
37.85375,-122.06375,7.5
37.85375,-121.98042,8.5
37.85375,-121.95542,8.5
37.85375,-121.92208,8.5
37.85375,-121.87208,7.5
37.84542,-122.48875,8.5
37.84542,-122.31375,7.5
37.84542,-122.29708,7.5
37.84542,-122.26375,7.5
37.84542,-122.24708,8.5
37.84542,-122.23042,8.5
37.84542,-122.20542,8.5
37.84542,-122.14708,8.5
37.84542,-122.13042,8.5
37.84542,-122.11375,8.5
37.84542,-122.08875,8.2
37.84542,-122.04708,8.5
37.84542,-122.03042,8.5
37.84542,-122.01375,8.5
37.84542,-121.99708,8.5
37.84542,-121.97208,7.5
37.84542,-121.94708,8.2
37.84542,-121.83875,7.5
37.83708,-122.53042,8.5
37.83708,-122.51375,7.5
37.83708,-122.49708,8.5
37.83708,-122.30542,7.5
37.83708,-122.28875,8.5
37.83708,-122.27208,7.5
37.83708,-122.25542,7.5
37.83708,-122.23875,7.5
37.83708,-122.22208,8.5
37.83708,-122.19708,7.5
37.83708,-122.17208,8.5
37.83708,-122.13875,8.5
37.83708,-122.12208,7.5
37.83708,-122.10542,7.5
37.83708,-122.08042,8.5
37.83708,-122.03875,7.5
37.83708,-122.02208,8.5
37.83708,-121.98042,8.5
37.83708,-121.95542,8.5
37.83708,-121.91375,8.5
37.83708,-121.83042,7.5
37.82875,-122.53875,7.5
37.82875,-122.52208,8.2
37.82875,-122.48875,8.5
37.82875,-122.37208,8.5
37.82875,-122.26375,7.5
37.82875,-122.24708,7.5
37.82875,-122.23042,8.5
37.82875,-122.20542,7.5
37.82875,-122.18875,8.5
37.82875,-122.16375,7.5
37.82875,-122.13042,8.5
37.82875,-122.11375,8.5
37.82875,-122.08875,7.5
37.82875,-122.07208,8.5
37.82875,-122.01375,8.5
37.82875,-121.99708,8.5
37.82875,-121.96375,8.5
37.82875,-121.94708,8.5
37.82875,-121.93042,8.5
37.82875,-121.89708,8.5
37.82875,-121.84708,7.5
37.82042,-122.53042,7.5
37.82042,-122.36375,8.5
37.82042,-122.31375,7.5
37.82042,-122.28042,7.2
37.82042,-122.23875,8.5
37.82042,-122.22208,8.5
37.82042,-122.19708,7.5
37.82042,-122.15542,7.5
37.82042,-122.13875,7.5
37.82042,-122.12208,8.2
37.82042,-122.10542,8.5
37.82042,-122.08042,8.5
37.82042,-122.06375,8.5
37.82042,-122.02208,8.5
37.82042,-121.98042,8.5
37.82042,-121.93875,8.5
37.82042,-121.91375,8.5
37.82042,-121.88875,8.5
37.82042,-121.85542,8.5
37.82042,-121.80542,7.5
37.81208,-122.43042,8.5
37.81208,-122.41375,8.5
37.81208,-122.37208,8.5
37.81208,-122.35542,8.5
37.81208,-122.33042,7.5
37.81208,-122.29708,7.5
37.81208,-122.25542,7.5
37.81208,-122.20542,7.5
37.81208,-122.18042,7.5
37.81208,-122.16375,8.5
37.81208,-122.01375,8.5
37.81208,-121.99708,8.5
37.81208,-121.95542,8.5
37.81208,-121.89708,8.5
37.81208,-121.88042,8.5
37.81208,-121.79708,8.5
37.80375,-122.47208,8.5
37.80375,-122.43875,8.5
37.80375,-122.40542,8.5
37.80375,-122.28875,7.5
37.80375,-122.27208,7.5
37.80375,-122.23042,7.5
37.80375,-122.21375,7.5
37.80375,-122.18875,7.5
37.80375,-122.17208,8.5
37.80375,-122.15542,7.5
37.80375,-122.11375,7.5
37.80375,-122.03875,8.5
37.80375,-122.00542,8.5
37.80375,-121.98875,8.5
37.80375,-121.97208,8.5
37.80375,-121.94708,8.5
37.80375,-121.93042,8.5
37.80375,-121.90542,8.5
37.80375,-121.88875,8.5
37.80375,-121.84708,8.5
37.80375,-121.78875,8.5
37.79542,-122.48042,8.5
37.79542,-122.45542,8.5
37.79542,-122.42208,8.5
37.79542,-122.39708,8.5
37.79542,-122.32208,7.5
37.79542,-122.26375,7.5
37.79542,-122.24708,7.5
37.79542,-122.22208,7.5
37.79542,-122.19708,7.5
37.79542,-122.18042,7.5
37.79542,-122.16375,7.5
37.79542,-122.13875,7.5
37.79542,-122.07208,8.5
37.79542,-122.02208,8.5
37.79542,-121.99708,8.5
37.79542,-121.98042,8.5
37.79542,-121.96375,8.5
37.79542,-121.93875,8.5
37.79542,-121.92208,8.5
37.79542,-121.89708,8.5
37.79542,-121.88042,8.2
37.79542,-121.86375,8.5
37.79542,-121.83042,7.5
37.78708,-122.48875,8.5
37.78708,-122.46375,8.5
37.78708,-122.44708,8.5
37.78708,-122.41375,7.5
37.78708,-122.38875,8.5
37.78708,-122.33042,8.5
37.78708,-122.29708,7.5
37.78708,-122.27208,7.5
37.78708,-122.25542,7.5
37.78708,-122.23042,7.5
37.78708,-122.20542,7.5
37.78708,-122.18875,7.5
37.78708,-122.17208,7.5
37.78708,-122.14708,7.5
37.78708,-122.06375,8.5
37.78708,-122.01375,8.5
37.78708,-121.97208,8.5
37.78708,-121.94708,8.5
37.78708,-121.93042,8.5
37.78708,-121.90542,8.5
37.78708,-121.88875,8.5
37.78708,-121.83875,8.2
37.78708,-121.81375,8.5
37.77875,-122.50542,8.5
37.77875,-122.48042,8.5
37.77875,-122.45542,8.5
37.77875,-122.43042,8.5
37.77875,-122.39708,8.5
37.77875,-122.32208,7.5
37.77875,-122.28042,7.5
37.77875,-122.26375,7.5
37.77875,-122.23875,7.5
37.77875,-122.22208,7.2
37.77875,-122.18042,7.2
37.77875,-122.16375,7.5
37.77875,-122.13875,7.5
37.77875,-122.07208,7.5
37.77875,-121.98875,8.5
37.77875,-121.96375,8.5
37.77875,-121.93875,8.5
37.77875,-121.91375,8.5
37.77875,-121.89708,8.2
37.77875,-121.85542,8.5
37.77875,-121.83042,7.5
37.77875,-121.80542,7.8
37.77042,-122.51375,8.5
37.77042,-122.49708,8.5
37.77042,-122.44708,7.5
37.77042,-122.41375,8.5
37.77042,-122.28875,7.5
37.77042,-122.27208,7.5
37.77042,-122.25542,7.5
37.77042,-122.23042,7.2
37.77042,-122.21375,6.5
37.77042,-122.19708,7.2
37.77042,-122.17208,6.5
37.77042,-122.15542,7.5
37.77042,-122.12208,7.5
37.77042,-122.08042,7.5
37.77042,-122.06375,7.5
37.77042,-122.03042,8.2
37.77042,-122.01375,8.5
37.77042,-121.99708,8.5
37.77042,-121.98042,8.5
37.77042,-121.92208,8.5
37.77042,-121.81375,8.5
37.77042,-121.78875,7.5
37.76208,-122.48875,8.5
37.76208,-122.47208,8.5
37.76208,-122.45542,8.5
37.76208,-122.43875,8.5
37.76208,-122.42208,8.5
37.76208,-122.39708,8.5
37.76208,-122.38042,8.5
37.76208,-122.26375,7.5
37.76208,-122.23875,7.5
37.76208,-122.18042,6.8
37.76208,-122.16375,7.2
37.76208,-122.13875,7.5
37.76208,-122.03875,7.5
37.76208,-121.98875,8.5
37.76208,-121.97208,8.2
37.76208,-121.94708,8.5
37.76208,-121.93042,8.5
37.76208,-121.90542,8.5
37.76208,-121.88875,8.5
37.76208,-121.86375,8.2
37.76208,-121.82208,8.5
37.76208,-121.79708,7.5
37.75375,-122.50542,7.5
37.75375,-122.44708,8.5
37.75375,-122.40542,7.5
37.75375,-122.38875,7.5
37.75375,-122.24708,7.5
37.75375,-122.23042,7.5
37.75375,-122.20542,6.5
37.75375,-122.18875,6.8
37.75375,-122.14708,7.2
37.75375,-122.12208,7.5
37.75375,-122.03042,7.5
37.75375,-122.01375,8.5
37.75375,-121.99708,8.5
37.75375,-121.98042,8.2
37.75375,-121.96375,8.5
37.75375,-121.93875,8.5
37.75375,-121.89708,8.5
37.75375,-121.88042,8.5
37.75375,-121.81375,7.5
37.75375,-121.78875,7.5
37.74542,-122.48042,7.5
37.74542,-122.46375,8.5
37.74542,-122.43042,8.5
37.74542,-122.39708,7.5
37.74542,-122.25542,7.5
37.74542,-122.23875,7.5
37.74542,-122.17208,6.5
37.74542,-122.15542,6.8
37.74542,-122.13875,7.2
37.74542,-122.11375,7.5
37.74542,-122.05542,7.5
37.74542,-122.03875,7.5
37.74542,-122.02208,8.5
37.74542,-121.98875,8.5
37.74542,-121.95542,8.5
37.74542,-121.93042,8.2
37.74542,-121.91375,8.5
37.74542,-121.88875,8.5
37.74542,-121.82208,8.5
37.74542,-121.80542,7.5
37.73708,-122.49708,7.5
37.73708,-122.44708,8.5
37.73708,-122.41375,7.5
37.73708,-122.38875,7.5
37.73708,-122.26375,7.5
37.73708,-122.24708,7.5
37.73708,-122.23042,7.5
37.73708,-122.18875,6.5
37.73708,-122.16375,7.2
37.73708,-122.14708,7.5
37.73708,-122.13042,7.5
37.73708,-122.03042,7.5
37.73708,-121.98042,8.2
37.73708,-121.96375,8.2
37.73708,-121.94708,8.2
37.73708,-121.92208,8.2
37.73708,-121.86375,8.2
37.73708,-121.81375,7.5
37.72875,-122.47208,8.5
37.72875,-122.43875,7.5
37.72875,-122.42208,7.5
37.72875,-122.40542,7.2
37.72875,-122.38042,7.2
37.72875,-122.36375,7.2
37.72875,-122.25542,7.5
37.72875,-122.23875,7.5
37.72875,-122.20542,7.5
37.72875,-122.17208,7.2
37.72875,-122.13875,7.5
37.72875,-122.12208,7.5
37.72875,-122.09708,7.5
37.72875,-122.08042,7.5
37.72875,-122.05542,7.5
37.72875,-122.03875,7.5
37.72875,-122.01375,7.5
37.72875,-121.98875,8.2
37.72875,-121.93042,7.5
37.72875,-121.91375,7.5
37.72875,-121.87208,7.5
37.72875,-121.84708,7.5
37.72875,-121.83042,7.5
37.72875,-121.80542,7.5
37.72875,-121.78875,7.5
37.72042,-122.48042,7.5
37.72042,-122.45542,7.5
37.72042,-122.43042,7.2
37.72042,-122.39708,7.2
37.72042,-122.23042,7.5
37.72042,-122.18042,7.5
37.72042,-122.15542,7.2
37.72042,-122.08875,7.5
37.72042,-122.07208,7.5
37.72042,-122.02208,7.5
37.72042,-121.99708,7.5
37.72042,-121.94708,7.5
37.72042,-121.88875,6.5
37.72042,-121.85542,8.5
37.72042,-121.81375,7.5
37.72042,-121.79708,7.5
37.71208,-122.49708,7.8
37.71208,-122.47208,7.5
37.71208,-122.43875,7.2
37.71208,-122.41375,7.5
37.71208,-122.38042,7.5
37.71208,-122.16375,7.2
37.71208,-122.13875,7.5
37.71208,-122.12208,7.5
37.71208,-122.09708,7.5
37.71208,-122.08042,7.5
37.71208,-122.04708,7.5
37.71208,-122.03042,7.5
37.71208,-122.01375,7.5
37.71208,-121.98042,8.2
37.71208,-121.95542,8.2
37.71208,-121.93875,7.5
37.71208,-121.92208,7.5
37.71208,-121.90542,7.5
37.71208,-121.87208,7.5
37.71208,-121.84708,8.5
37.71208,-121.82208,7.5
37.71208,-121.80542,7.5
37.70375,-122.48042,7.5
37.70375,-122.44708,7.5
37.70375,-122.42208,7.2
37.70375,-122.20542,7.5
37.70375,-122.18875,7.5
37.70375,-122.17208,7.2
37.70375,-122.14708,7.5
37.70375,-122.13042,7.5
37.70375,-122.10542,7.5
37.70375,-122.08875,7.5
37.70375,-122.06375,7.5
37.70375,-122.02208,7.5
37.70375,-121.98875,7.5
37.70375,-121.97208,8.5
37.70375,-121.94708,8.2
37.70375,-121.93042,8.2
37.70375,-121.91375,8.2
37.70375,-121.89708,7.5
37.70375,-121.88042,7.5
37.70375,-121.86375,7.5
37.70375,-121.81375,7.5
37.70375,-121.78875,7.5
37.69542,-122.48875,7.5
37.69542,-122.46375,7.5
37.69542,-122.43042,7.5
37.69542,-122.41375,7.5
37.69542,-122.19708,7.5
37.69542,-122.18042,7.5
37.69542,-122.15542,7.5
37.69542,-122.13875,7.5
37.69542,-122.11375,7.5
37.69542,-122.09708,7.5
37.69542,-122.08042,7.5
37.69542,-122.04708,7.5
37.69542,-122.03042,7.5
37.69542,-121.99708,8.5
37.69542,-121.98042,8.5
37.69542,-121.95542,7.5
37.69542,-121.88875,8.2
37.69542,-121.87208,7.5
37.69542,-121.85542,7.5
37.69542,-121.83042,7.5
37.69542,-121.79708,7.5
37.68708,-122.49708,7.2
37.68708,-122.48042,7.5
37.68708,-122.45542,7.5
37.68708,-122.42208,7.5
37.68708,-122.40542,7.5
37.68708,-122.16375,7.5
37.68708,-122.12208,7.2
37.68708,-122.10542,7.2
37.68708,-122.08875,7.5
37.68708,-122.06375,7.5
37.68708,-122.03875,7.5
37.68708,-121.96375,8.5
37.68708,-121.93875,8.5
37.68708,-121.92208,8.2
37.68708,-121.90542,8.2
37.68708,-121.88042,7.5
37.68708,-121.80542,7.5
37.68708,-121.78875,7.5
37.67875,-122.47208,7.5
37.67875,-122.43875,7.5
37.67875,-122.39708,7.5
37.67875,-122.17208,7.5
37.67875,-122.14708,7.5
37.67875,-122.13042,7.5
37.67875,-122.11375,7.2
37.67875,-122.09708,7.5
37.67875,-122.07208,7.2
37.67875,-122.04708,7.5
37.67875,-122.03042,7.5
37.67875,-122.01375,7.5
37.67875,-121.94708,7.5
37.67875,-121.91375,7.5
37.67875,-121.89708,7.5
37.67875,-121.86375,8.2
37.67875,-121.79708,7.5
37.67042,-122.49708,7.2
37.67042,-122.48042,7.5
37.67042,-122.44708,7.5
37.67042,-122.42208,7.5
37.67042,-122.16375,7.5
37.67042,-122.08875,7.2
37.67042,-122.05542,7.5
37.67042,-121.98875,7.5
37.67042,-121.93042,7.5
37.67042,-121.90542,7.5
37.67042,-121.88875,7.5
37.67042,-121.87208,8.2
37.67042,-121.83042,7.5
37.67042,-121.80542,7.5
37.67042,-121.78875,7.5
37.66208,-122.47208,7.5
37.66208,-122.45542,7.5
37.66208,-122.43875,7.5
37.66208,-122.40542,7.5
37.66208,-122.38042,7.8
37.66208,-122.13875,7.2
37.66208,-122.12208,7.2
37.66208,-122.10542,7.2
37.66208,-122.06375,7.5
37.66208,-122.03875,7.2
37.66208,-121.99708,7.5
37.66208,-121.91375,8.5
37.66208,-121.89708,7.5
37.66208,-121.86375,8.5
37.66208,-121.84708,8.2
37.66208,-121.79708,7.5
37.65375,-122.48875,7.5
37.65375,-122.46375,7.5
37.65375,-122.44708,7.5
37.65375,-122.42208,7.5
37.65375,-122.38875,7.5
37.65375,-122.13042,7.5
37.65375,-122.08042,7.2
37.65375,-122.04708,7.2
37.65375,-122.03042,7.5
37.65375,-122.01375,7.5
37.65375,-121.98875,7.5
37.65375,-121.96375,7.5
37.65375,-121.90542,8.2
37.65375,-121.88042,7.5
37.65375,-121.85542,8.2
37.65375,-121.82208,8.2
37.65375,-121.80542,7.5
37.65375,-121.78875,7.5
37.64542,-122.49708,7.5
37.64542,-122.47208,7.5
37.64542,-122.45542,7.5
37.64542,-122.43042,7.5
37.64542,-122.38042,7.5
37.64542,-122.11375,6.5
37.64542,-122.09708,7.2
37.64542,-122.06375,7.5
37.64542,-122.03875,7.2
37.64542,-122.02208,7.2
37.64542,-121.99708,7.5
37.64542,-121.97208,7.5
37.64542,-121.95542,8.5
37.64542,-121.91375,8.2
37.64542,-121.89708,8.2
37.64542,-121.87208,8.5
37.64542,-121.84708,7.5
37.64542,-121.81375,8.2
37.64542,-121.79708,8.2
37.63708,-122.48875,7.5
